Precio Interno ,Fecha
340.250,02-nov-04
345.500,03-nov-04
351.375,04-nov-04
351.750,05-nov-04
351.750,06-nov-04
351.750,07-nov-04
361.250,08-nov-04
359.750,09-nov-04
376.000,10-nov-04
380.250,11-nov-04
379.250,12-nov-04
379.250,13-nov-04
379.250,14-nov-04
401.375,15-nov-04
403.000,16-nov-04
410.250,17-nov-04
416.125,18-nov-04
408.375,19-nov-04
408.375,20-nov-04
408.375,21-nov-04
417.000,22-nov-04
413.500,23-nov-04
411.875,24-nov-04
411.875,25-nov-04
411.875,26-nov-04
411.875,27-nov-04
411.875,28-nov-04
425.375,29-nov-04
425.000,30-nov-04
435.375,01-dic-04
436.625,02-dic-04
422.625,03-dic-04
422.625,04-dic-04
422.625,05-dic-04
420.000,06-dic-04
416.500,07-dic-04
420.125,08-dic-04
417.375,09-dic-04
409.500,10-dic-04
409.500,11-dic-04
409.500,12-dic-04
391.750,13-dic-04
390.000,14-dic-04
408.250,15-dic-04
409.000,16-dic-04
430.250,17-dic-04
430.250,18-dic-04
430.250,19-dic-04
432.750,20-dic-04
430.125,21-dic-04
420.125,22-dic-04
435.250,23-dic-04
435.250,24-dic-04
435.250,25-dic-04
435.250,26-dic-04
435.750,27-dic-04
439.125,28-dic-04
446.375,29-dic-04
414.500,30-dic-04
414.500,31-dic-04
414.500,01-ene-05
414.500,02-ene-05
407.250,03-ene-05
398.750,04-ene-05
388.625,05-ene-05
395.500,06-ene-05
398.375,07-ene-05
398.375,08-ene-05
398.375,09-ene-05
393.375,10-ene-05
396.875,11-ene-05
398.250,12-ene-05
409.625,13-ene-05
412.375,14-ene-05
412.375,15-ene-05
412.375,16-ene-05
412.375,17-ene-05
417.625,18-ene-05
426.500,19-ene-05
426.625,20-ene-05
428.250,21-ene-05
428.250,22-ene-05
428.250,23-ene-05
432.500,24-ene-05
439.375,25-ene-05
444.375,26-ene-05
438.375,27-ene-05
444.125,28-ene-05
444.125,29-ene-05
444.125,30-ene-05
443.125,31-ene-05
443.625,01-feb-05
445.250,02-feb-05
445.000,03-feb-05
456.500,04-feb-05
456.500,05-feb-05
456.500,06-feb-05
459.875,07-feb-05
471.000,08-feb-05
474.375,09-feb-05
475.375,10-feb-05
486.625,11-feb-05
486.625,12-feb-05
486.625,13-feb-05
480.750,14-feb-05
486.000,15-feb-05
499.875,16-feb-05
498.875,17-feb-05
504.375,18-feb-05
504.375,19-feb-05
504.375,20-feb-05
504.375,21-feb-05
494.250,22-feb-05
510.125,23-feb-05
511.625,24-feb-05
499.500,25-feb-05
499.500,26-feb-05
499.500,27-feb-05
520.000,28-feb-05
519.250,01-mar-05
520.000,02-mar-05
529.500,03-mar-05
528.125,04-mar-05
528.125,05-mar-05
528.125,06-mar-05
544.375,07-mar-05
559.750,08-mar-05
552.375,09-mar-05
600.500,10-mar-05
590.250,11-mar-05
590.250,12-mar-05
590.250,13-mar-05
585.125,14-mar-05
592.500,15-mar-05
599.000,16-mar-05
598.000,17-mar-05
587.125,18-mar-05
587.125,19-mar-05
587.125,20-mar-05
574.750,21-mar-05
574.125,22-mar-05
552.750,23-mar-05
529.750,24-mar-05
529.750,25-mar-05
529.750,26-mar-05
529.750,27-mar-05
542.750,28-mar-05
538.250,29-mar-05
546.125,30-mar-05
551.750,31-mar-05
542.875,01-abr-05
542.875,02-abr-05
542.875,03-abr-05
538.625,04-abr-05
562.000,05-abr-05
544.250,06-abr-05
530.000,07-abr-05
501.750,08-abr-05
501.750,09-abr-05
501.750,10-abr-05
483.500,11-abr-05
491.375,12-abr-05
488.875,13-abr-05
476.250,14-abr-05
484.250,15-abr-05
484.250,16-abr-05
484.250,17-abr-05
483.125,18-abr-05
496.375,19-abr-05
512.125,20-abr-05
505.125,21-abr-05
535.125,22-abr-05
535.125,23-abr-05
535.125,24-abr-05
534.250,25-abr-05
548.000,26-abr-05
550.250,27-abr-05
550.500,28-abr-05
540.625,29-abr-05
540.625,30-abr-05
540.625,01-may-05
522.500,02-may-05
511.750,03-may-05
525.875,04-may-05
514.875,05-may-05
519.625,06-may-05
519.625,07-may-05
519.625,08-may-05
518.125,09-may-05
506.250,10-may-05
515.375,11-may-05
513.250,12-may-05
508.250,13-may-05
508.250,14-may-05
508.250,15-may-05
483.375,16-may-05
485.750,17-may-05
486.000,18-may-05
483.750,19-may-05
483.875,20-may-05
483.875,21-may-05
483.875,22-may-05
484.500,23-may-05
489.500,24-may-05
499.625,25-may-05
504.750,26-may-05
497.125,27-may-05
497.125,28-may-05
497.125,29-may-05
497.125,30-may-05
488.375,31-may-05
489.750,01-jun-05
498.875,02-jun-05
511.750,03-jun-05
511.750,04-jun-05
511.750,05-jun-05
503.750,06-jun-05
510.875,07-jun-05
500.125,08-jun-05
478.750,09-jun-05
459.375,10-jun-05
459.375,11-jun-05
459.375,12-jun-05
446.125,13-jun-05
447.875,14-jun-05
464.625,15-jun-05
456.000,16-jun-05
446.375,17-jun-05
446.375,18-jun-05
446.375,19-jun-05
455.500,20-jun-05
452.750,21-jun-05
464.625,22-jun-05
455.500,23-jun-05
440.875,24-jun-05
440.875,25-jun-05
440.875,26-jun-05
428.500,27-jun-05
432.875,28-jun-05
429.125,29-jun-05
436.750,30-jun-05
423.625,01-jul-05
423.625,02-jul-05
423.625,03-jul-05
423.625,04-jul-05
428.875,05-jul-05
433.875,06-jul-05
432.125,07-jul-05
435.625,08-jul-05
435.625,09-jul-05
435.625,10-jul-05
423.625,11-jul-05
425.875,12-jul-05
424.375,13-jul-05
436.500,14-jul-05
429.125,15-jul-05
429.125,16-jul-05
429.125,17-jul-05
405.125,18-jul-05
380.875,19-jul-05
389.750,20-jul-05
392.125,21-jul-05
392.125,22-jul-05
392.125,23-jul-05
392.125,24-jul-05
396.875,25-jul-05
399.250,26-jul-05
392.500,27-jul-05
403.125,28-jul-05
408.875,29-jul-05
408.875,30-jul-05
408.875,31-jul-05
404.250,01-ago-05
420.625,02-ago-05
420.750,03-ago-05
446.250,04-ago-05
438.250,05-ago-05
438.250,06-ago-05
438.250,07-ago-05
429.375,08-ago-05
429.750,09-ago-05
437.250,10-ago-05
441.125,11-ago-05
441.125,12-ago-05
441.125,13-ago-05
441.125,14-ago-05
396.375,15-ago-05
397.000,16-ago-05
400.875,17-ago-05
394.625,18-ago-05
397.625,19-ago-05
397.625,20-ago-05
397.625,21-ago-05
396.500,22-ago-05
402.250,23-ago-05
400.125,24-ago-05
390.375,25-ago-05
380.000,26-ago-05
380.000,27-ago-05
380.000,28-ago-05
380.000,29-ago-05
385.375,30-ago-05
392.250,31-ago-05
400.750,01-sep-05
395.375,02-sep-05
395.375,03-sep-05
395.375,04-sep-05
395.375,05-sep-05
389.125,06-sep-05
377.250,07-sep-05
380.125,08-sep-05
380.750,09-sep-05
380.750,10-sep-05
380.750,11-sep-05
364.500,12-sep-05
380.000,13-sep-05
385.500,14-sep-05
380.000,15-sep-05
370.125,16-sep-05
370.125,17-sep-05
370.125,18-sep-05
350.125,19-sep-05
386.000,20-sep-05
383.250,21-sep-05
386.875,22-sep-05
385.500,23-sep-05
385.500,24-sep-05
385.500,25-sep-05
366.875,26-sep-05
370.750,27-sep-05
396.500,28-sep-05
407.000,29-sep-05
406.375,30-sep-05
406.375,01-oct-05
406.375,02-oct-05
408.375,03-oct-05
407.875,04-oct-05
416.125,05-oct-05
418.625,06-oct-05
420.750,07-oct-05
420.750,08-oct-05
420.750,09-oct-05
434.500,10-oct-05
434.750,11-oct-05
435.125,12-oct-05
429.750,13-oct-05
424.875,14-oct-05
424.875,15-oct-05
424.875,16-oct-05
442.375,17-oct-05
455.000,18-oct-05
450.000,19-oct-05
450.750,20-oct-05
444.000,21-oct-05
444.000,22-oct-05
444.000,23-oct-05
441.000,24-oct-05
444.000,25-oct-05
435.375,26-oct-05
433.125,27-oct-05
433.125,28-oct-05
433.125,29-oct-05
433.125,30-oct-05
425.125,31-oct-05
425.750,01-nov-05
440.375,02-nov-05
452.875,03-nov-05
456.375,04-nov-05
456.375,05-nov-05
456.375,06-nov-05
452.500,07-nov-05
474.500,08-nov-05
464.875,09-nov-05
463.000,10-nov-05
463.125,11-nov-05
463.125,12-nov-05
463.125,13-nov-05
434.375,14-nov-05
427.000,15-nov-05
427.000,16-nov-05
443.375,17-nov-05
440.125,18-nov-05
440.125,19-nov-05
440.125,20-nov-05
448.125,21-nov-05
446.000,22-nov-05
460.125,23-nov-05
460.125,24-nov-05
460.125,25-nov-05
460.125,26-nov-05
460.125,27-nov-05
455.625,28-nov-05
450.000,29-nov-05
434.875,30-nov-05
431.375,01-dic-05
425.000,02-dic-05
425.000,03-dic-05
425.000,04-dic-05
428.875,05-dic-05
429.375,06-dic-05
431.375,07-dic-05
430.875,08-dic-05
431.625,09-dic-05
431.625,10-dic-05
431.625,11-dic-05
447.000,12-dic-05
439.875,13-dic-05
432.125,14-dic-05
435.375,15-dic-05
440.125,16-dic-05
440.125,17-dic-05
440.125,18-dic-05
457.250,19-dic-05
460.625,20-dic-05
455.750,21-dic-05
461.250,22-dic-05
461.625,23-dic-05
461.625,24-dic-05
461.625,25-dic-05
461.625,26-dic-05
473.500,27-dic-05
482.625,28-dic-05
482.625,29-dic-05
483.750,30-dic-05
483.750,31-dic-05
483.750,01-ene-06
483.750,02-ene-06
490.625,03-ene-06
500.500,04-ene-06
515.375,05-ene-06
534.375,06-ene-06
534.375,07-ene-06
534.375,08-ene-06
541.500,09-ene-06
536.375,10-ene-06
524.500,11-ene-06
522.125,12-ene-06
529.000,13-ene-06
529.000,14-ene-06
529.000,15-ene-06
529.000,16-ene-06
537.000,17-ene-06
543.000,18-ene-06
527.875,19-ene-06
520.250,20-ene-06
520.250,21-ene-06
520.250,22-ene-06
525.125,23-ene-06
532.500,24-ene-06
537.000,25-ene-06
537.000,26-ene-06
540.875,27-ene-06
540.875,28-ene-06
540.875,29-ene-06
529.625,30-ene-06
511.250,31-ene-06
505.875,01-feb-06
508.500,02-feb-06
506.375,03-feb-06
506.375,04-feb-06
506.375,05-feb-06
484.375,06-feb-06
489.875,07-feb-06
485.375,08-feb-06
486.125,09-feb-06
492.625,10-feb-06
492.625,11-feb-06
492.625,12-feb-06
465.250,13-feb-06
457.625,14-feb-06
457.500,15-feb-06
444.875,16-feb-06
460.750,17-feb-06
460.750,18-feb-06
460.750,19-feb-06
460.750,20-feb-06
465.375,21-feb-06
459.250,22-feb-06
463.500,23-feb-06
465.625,24-feb-06
465.625,25-feb-06
465.625,26-feb-06
453.875,27-feb-06
469.375,28-feb-06
472.000,01-mar-06
464.500,02-mar-06
469.625,03-mar-06
469.625,04-mar-06
469.625,05-mar-06
459.625,06-mar-06
448.750,07-mar-06
449.500,08-mar-06
448.500,09-mar-06
443.875,10-mar-06
443.875,11-mar-06
443.875,12-mar-06
436.875,13-mar-06
438.125,14-mar-06
450.000,15-mar-06
441.125,16-mar-06
432.750,17-mar-06
432.750,18-mar-06
432.750,19-mar-06
434.500,20-mar-06
441.125,21-mar-06
429.000,22-mar-06
432.875,23-mar-06
434.625,24-mar-06
434.625,25-mar-06
434.625,26-mar-06
437.875,27-mar-06
438.125,28-mar-06
434.625,29-mar-06
455.000,30-mar-06
448.125,31-mar-06
448.125,01-abr-06
448.125,02-abr-06
460.000,03-abr-06
447.375,04-abr-06
452.875,05-abr-06
461.875,06-abr-06
469.625,07-abr-06
469.625,08-abr-06
469.625,09-abr-06
463.125,10-abr-06
456.125,11-abr-06
446.875,12-abr-06
447.875,13-abr-06
447.875,14-abr-06
447.875,15-abr-06
447.875,16-abr-06
462.250,17-abr-06
467.625,18-abr-06
486.750,19-abr-06
498.375,20-abr-06
492.875,21-abr-06
492.875,22-abr-06
492.875,23-abr-06
489.000,24-abr-06
482.625,25-abr-06
486.000,26-abr-06
472.000,27-abr-06
476.750,28-abr-06
476.750,29-abr-06
476.750,30-abr-06
477.375,01-may-06
492.875,02-may-06
487.125,03-may-06
478.875,04-may-06
469.500,05-may-06
469.500,06-may-06
469.500,07-may-06
461.125,08-may-06
466.750,09-may-06
464.875,10-may-06
455.125,11-may-06
450.250,12-may-06
450.250,13-may-06
450.250,14-may-06
452.125,15-may-06
452.000,16-may-06
452.125,17-may-06
459.125,18-may-06
450.625,19-may-06
450.625,20-may-06
450.625,21-may-06
453.250,22-may-06
461.250,23-may-06
459.875,24-may-06
449.500,25-may-06
441.000,26-may-06
441.000,27-may-06
441.000,28-may-06
441.000,29-may-06
446.750,30-may-06
449.250,31-may-06
452.750,01-jun-06
454.375,02-jun-06
454.375,03-jun-06
454.375,04-jun-06
438.250,05-jun-06
432.875,06-jun-06
432.500,07-jun-06
441.875,08-jun-06
437.750,09-jun-06
437.750,10-jun-06
437.750,11-jun-06
441.250,12-jun-06
445.000,13-jun-06
447.250,14-jun-06
450.250,15-jun-06
442.500,16-jun-06
442.500,17-jun-06
442.500,18-jun-06
440.375,19-jun-06
444.625,20-jun-06
451.125,21-jun-06
455.125,22-jun-06
457.125,23-jun-06
457.125,24-jun-06
457.125,25-jun-06
454.500,26-jun-06
460.000,27-jun-06
475.000,28-jun-06
471.125,29-jun-06
472.250,30-jun-06
472.250,01-jul-06
472.250,02-jul-06
